Implementing agency,Sourcing Agency,Local partner agency,Agency / Local contact name,Agency / Local contact email,Agency / Local contact phone #,District,VDC / Municipalities,Municipal Ward,Action type,Action description,Targeting,# Items / # Man-hours / NPR,Total Number Households,Average cost per households (NPR),Female headed households,Vulnerable Caste / Ethnicity households ,Activity Status,Start date,Completion Date,Additional Comments,Last Update,Priority,Hard to Reach Access Methods,Shelter Cluster Hub,District HLCIT Code,VDC / Municipality HLCIT Code,UID,UNOCHA Activity Categories
AWO International e. V,,Pourakhi Nepal  ,,,,Kathmandu,Chhaimale,Unknown,Shelter,Tool Kits,,8,0,,,,Planned (funded),22/06/2015,,,19/06/2015,TRUE,,Central,524 2 05 27,524 2 05 27 5 055,AWO International e. VPourakhi Nepal  KathmanduChhaimaleUnknownShelterTool Kits80,
AWO International e. V,,Pourakhi Nepal  ,,,,Kathmandu,Sangla,Unknown,Shelter,Tool Kits,,25,0,,,,Planned (funded),22/06/2015,,,19/06/2015,TRUE,,Central,524 2 05 27,524 2 05 27 5 030,AWO International e. VPourakhi Nepal  KathmanduSanglaUnknownShelterTool Kits250,
AWO International e. V,,Pourakhi Nepal  ,,,,Kathmandu,Dakshinkali,Unknown,Shelter,Tool Kits,,6,0,,,,Planned (funded),22/06/2015,,,19/06/2015,TRUE,,Central,524 2 05 27,524 2 05 27 5 054,AWO International e. VPourakhi Nepal  KathmanduDakshinkaliUnknownShelterTool Kits60,
AWO International e. V,,Pourakhi Nepal  ,,,,Kathmandu,Jhormahangkal,Unknown,Shelter,Tool Kits,,28,0,,,,Planned (funded),22/06/2015,,,19/06/2015,TRUE,,Central,524 2 05 27,524 2 05 27 5 024,AWO International e. VPourakhi Nepal  KathmanduJhormahangkalUnknownShelterTool Kits280,
AWO International e. V,,Pourakhi Nepal  ,,,,Kathmandu,Phutung,Unknown,Shelter,Tool Kits,,30,0,,,,Planned (funded),22/06/2015,,,19/06/2015,TRUE,,Central,524 2 05 27,524 2 05 27 5 031,AWO International e. VPourakhi Nepal  KathmanduPhutungUnknownShelterTool Kits300,
AWO International e. V,,Pourakhi Nepal  ,,,,Kathmandu,Talkudunde Chaur,Unknown,Shelter,Tool Kits,,2,0,,,,Planned (funded),22/06/2015,,,19/06/2015,TRUE,,Central,524 2 05 27,524 2 05 27 5 051,AWO International e. VPourakhi Nepal  KathmanduTalkudunde ChaurUnknownShelterTool Kits20,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Bulingtar,Unknown,NFI,Blankets,,21,21,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 010,AWO International e. VSahamati NawalparasiBulingtarUnknownNFIBlankets2121,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Upalloarkhale,Unknown,NFI,Blankets,,16,16,,,,Completed,07/05/2015,07/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 018,AWO International e. VSahamati NawalparasiUpalloarkhaleUnknownNFIBlankets1616,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Dandajheritadi,Unknown,NFI,Blankets,,30,30,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 011,AWO International e. VSahamati NawalparasiDandajheritadiUnknownNFIBlankets3030,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Gaindakot,Unknown,NFI,Blankets,,3,3,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 013,AWO International e. VSahamati NawalparasiGaindakotUnknownNFIBlankets33,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Kotthar,Unknown,NFI,Blankets,,50,50,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 014,AWO International e. VSahamati NawalparasiKottharUnknownNFIBlankets5050,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Bulingtar,Unknown,Shelter,Tarpaulin,,21,21,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 010,AWO International e. VSahamati NawalparasiBulingtarUnknownShelterTarpaulin2121,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Upalloarkhale,Unknown,Shelter,Tarpaulin,,16,16,,,,Completed,07/05/2015,07/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 018,AWO International e. VSahamati NawalparasiUpalloarkhaleUnknownShelterTarpaulin1616,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Ratanpur,Unknown,Shelter,Tarpaulin,,30,30,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 017,AWO International e. VSahamati NawalparasiRatanpurUnknownShelterTarpaulin3030,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Gaindakot,Unknown,Shelter,Tarpaulin,,3,3,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 013,AWO International e. VSahamati NawalparasiGaindakotUnknownShelterTarpaulin33,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Kotthar,Unknown,Shelter,Tarpaulin,,50,50,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 014,AWO International e. VSahamati NawalparasiKottharUnknownShelterTarpaulin5050,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Bulingtar,Unknown,Shelter,Tool Kits,,4,4,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 010,AWO International e. VSahamati NawalparasiBulingtarUnknownShelterTool Kits44,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Upalloarkhale,Unknown,Shelter,Tool Kits,,3,3,,,,Completed,07/05/2015,07/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 018,AWO International e. VSahamati NawalparasiUpalloarkhaleUnknownShelterTool Kits33,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Ratanpur,Unknown,Shelter,Tool Kits,,6,6,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 017,AWO International e. VSahamati NawalparasiRatanpurUnknownShelterTool Kits66,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Gaindakot,Unknown,Shelter,Tool Kits,,1,1,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 013,AWO International e. VSahamati NawalparasiGaindakotUnknownShelterTool Kits11,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Kotthar,Unknown,Shelter,Tool Kits,,10,10,,,,Completed,08/05/2015,08/05/2015,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 014,AWO International e. VSahamati NawalparasiKottharUnknownShelterTool Kits1010,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Dandajheritadi,Unknown,Shelter,CGI Bundle (72ft/bundle),,32,0,,,,Ongoing / In Country Stock,16/06/2015,,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 011,AWO International e. VSahamati NawalparasiDandajheritadiUnknownShelterCGI Bundle (72ft/bundle)320,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Upalloarkhale,Unknown,Shelter,CGI Bundle (72ft/bundle),,9,0,,,,Ongoing / In Country Stock,16/06/2015,,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 018,AWO International e. VSahamati NawalparasiUpalloarkhaleUnknownShelterCGI Bundle (72ft/bundle)90,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Gaindakot,Unknown,Shelter,CGI Bundle (72ft/bundle),,3,0,,,,Ongoing / In Country Stock,16/06/2015,,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 013,AWO International e. VSahamati NawalparasiGaindakotUnknownShelterCGI Bundle (72ft/bundle)30,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Ratanpur,Unknown,Shelter,CGI Bundle (72ft/bundle),,37,0,,,,Ongoing / In Country Stock,16/06/2015,,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 017,AWO International e. VSahamati NawalparasiRatanpurUnknownShelterCGI Bundle (72ft/bundle)370,Distribution of Shelter Material
AWO International e. V,,Sahamati ,,,,Nawalparasi,Dandajheritadi,Unknown,Shelter,Construction Materials (Excluding CGI and Fixings),,32,0,,,,Ongoing / In Country Stock,16/06/2015,,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 011,AWO International e. VSahamati NawalparasiDandajheritadiUnknownShelterConstruction Materials (Excluding CGI and Fixings)320,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Upalloarkhale,Unknown,Shelter,Construction Materials (Excluding CGI and Fixings),,9,0,,,,Ongoing / In Country Stock,16/06/2015,,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 018,AWO International e. VSahamati NawalparasiUpalloarkhaleUnknownShelterConstruction Materials (Excluding CGI and Fixings)90,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Gaindakot,Unknown,Shelter,Construction Materials (Excluding CGI and Fixings),,3,0,,,,Ongoing / In Country Stock,16/06/2015,,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 013,AWO International e. VSahamati NawalparasiGaindakotUnknownShelterConstruction Materials (Excluding CGI and Fixings)30,
AWO International e. V,,Sahamati ,,,,Nawalparasi,Ratanpur,Unknown,Shelter,Construction Materials (Excluding CGI and Fixings),,37,0,,,,Ongoing / In Country Stock,16/06/2015,,,19/06/2015,FALSE,,,524 3 09 47,524 3 09 47 5 017,AWO International e. VSahamati NawalparasiRatanpurUnknownShelterConstruction Materials (Excluding CGI and Fixings)370,
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Jethal,Unknown,NFI,Blankets,,837,837,,,,Completed,01/06/2015,02/06/2015,,19/06/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 011,AWO International e. VMaiti Nepal SindhupalchokJethalUnknownNFIBlankets837837,Distribution of Shelter Material
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Thumpakhar,Unknown,NFI,Blankets,,1203,1203,,,,Completed,09/06/2015,11/06/2015,,19/06/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 026,AWO International e. VMaiti Nepal SindhupalchokThumpakharUnknownNFIBlankets12031203,Distribution of Shelter Material
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Thulo Pakhar,Unknown,NFI,Blankets,,967,967,,,,Completed,04/06/2015,05/06/2015,,19/06/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 025,AWO International e. VMaiti Nepal SindhupalchokThulo PakharUnknownNFIBlankets967967,Distribution of Shelter Material
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Jethal,Unknown,NFI,Household kits (excluding tarpaulins),,837,837,,,,Completed,01/06/2015,02/06/2015,,19/06/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 011,AWO International e. VMaiti Nepal SindhupalchokJethalUnknownNFIHousehold kits (excluding tarpaulins)837837,Distribution of NFI
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Thumpakhar,Unknown,NFI,Household kits (excluding tarpaulins),,1203,1203,,,,Completed,09/06/2015,11/06/2015,,26/07/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 026,AWO International e. VMaiti Nepal SindhupalchokThumpakharUnknownNFIHousehold kits (excluding tarpaulins)12031203,Distribution of NFI
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Thulo Pakhar,Unknown,NFI,Household kits (excluding tarpaulins),,967,967,,,,Completed,04/06/2015,05/06/2015,,26/07/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 025,AWO International e. VMaiti Nepal SindhupalchokThulo PakharUnknownNFIHousehold kits (excluding tarpaulins)967967,Distribution of NFI
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Jethal,Unknown,Shelter,Tarpaulin,,837,837,,,,Completed,01/06/2015,02/06/2015,,03/08/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 011,AWO International e. VMaiti Nepal SindhupalchokJethalUnknownShelterTarpaulin837837,Distribution of Shelter Material
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Thumpakhar,Unknown,Shelter,Tarpaulin,,1203,1203,,,,Completed,09/06/2015,11/06/2015,,03/08/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 026,AWO International e. VMaiti Nepal SindhupalchokThumpakharUnknownShelterTarpaulin12031203,Distribution of Shelter Material
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Thulo Pakhar,Unknown,Shelter,Tarpaulin,,967,967,,,,Completed,04/06/2015,05/06/2015,,03/08/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 025,AWO International e. VMaiti Nepal SindhupalchokThulo PakharUnknownShelterTarpaulin967967,Distribution of Shelter Material
AWO International e. V,,Phase Nepal,,,,Sindhupalchok,Phulpingkot,Unknown,Shelter,Tarpaulin,,934,934,,,,Completed,01/05/2015,01/05/2015,,03/08/2015,TRUE,,East,524 2 05 23,524 2 05 23 5 049,AWO International e. VPhase NepalSindhupalchokPhulpingkotUnknownShelterTarpaulin934934,Distribution of Shelter Material
AWO International e. V,,Maiti Nepal ,,,,Sindhupalchok,Tatopani,Unknown,NFI,Household kits (excluding tarpaulins),,100,0,,,,Ongoing / In Country Stock,23/06/2015,28/06/2015,954+ Hygiene Kits,03/08/2015,TRUE,No road access - possibly no helicopter landing sites,East,524 2 05 23,524 2 05 23 5 006,AWO International e. VMaiti Nepal SindhupalchokTatopaniUnknownNFIHousehold kits (excluding tarpaulins)1000,Distribution of NFI
Batas Foundation,IRW.,,Sagun Gurung,do1@batasfoundation.org,9818700880,Sindhupalchok,Ghorthali,"1,2,3",Shelter,Tarpaulin,Targeted group,,168,,,,Completed,23/05/2015,05/06/2015,,09/08/2015,TRUE,Tractor access,East,524 2 05 23,524 2 05 23 5 017,"Batas FoundationSindhupalchokGhorthali1,2,3ShelterTarpaulin168",Distribution of Shelter Material
Batas Foundation,IRW.,,Sagun Gurung,do1@batasfoundation.org,9818700880,Sindhupalchok,Jethal,All,Shelter,Tarpaulin,All / Blanket,,836,,,,Completed,23/05/2005,,,09/08/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 011,Batas FoundationSindhupalchokJethalAllShelterTarpaulin836,Distribution of Shelter Material
Batas Foundation,IRW.,,Sagun Gurung,do1@batasfoundation.org,9818700880,Sindhupalchok,Karthali,1,Shelter,Tents,Targeted group,,195,,,,Completed,01/06/2015,07/06/2015,,09/08/2015,TRUE,Tractor access,East,524 2 05 23,524 2 05 23 5 001,Batas FoundationSindhupalchokKarthali1ShelterTents195,Distribution of Shelter Material
Batas Foundation,IRW,,Sagun Gurung,do1@batasfoundation.org,9818700880,Sindhupalchok,Sangachok,3,Shelter,Tarpaulin,Targeted group,50,25,,,,Completed,09/07/2015,13/07/2015,2 tarps per HH that equals 50 tarps,09/08/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 042,Batas FoundationSindhupalchokSangachok3ShelterTarpaulin5025,Distribution of Shelter Material
Benegas,IOM,,,,,Gorkha,Gumda,,Shelter,Tarpaulin,Targeted group,40,40,,,,Completed,11/05/2015,11/05/2015,,03/08/2015,TRUE,No road access - possible helicopter landing sites,West,524 3 07 36,524 3 07 36 5 044,BenegasGorkhaGumdaShelterTarpaulin4040,Distribution of Shelter Material
Benegas,IOM,,,,,Gorkha,Laprak,,Shelter,Tarpaulin,Targeted group,160,160,,,,Completed,11/05/2015,11/05/2015,,03/08/2015,TRUE,No road access - possible helicopter landing sites,West,524 3 07 36,524 3 07 36 5 047,BenegasGorkhaLaprakShelterTarpaulin160160,Distribution of Shelter Material
CARE,DFID /DFATD GIK,MANK,Federica Lisa ,federica.lisa@care.org,9851215132,Sindhupalchok,Melamchi,4.5,Shelter,Tarpaulin,Targeted group,90,45,4800,,,Completed,10/09/2015,11/09/2015,Distributed 2 tarps and 2 ropes for each HH,26/09/2015,TRUE,Truck access,East,524 2 05 23,524 2 05 23 5 061,CAREMANKSindhupalchokMelamchi4.5ShelterTarpaulin9045,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Chhoprak,3,Shelter,Tarpaulin,Targeted group,81,81,2400,0,,Completed,02/05/2015,02/05/2015,NFI kits with tarpaulin,26/09/2015,TRUE,Tractor access,West,524 3 07 36,524 3 07 36 5 026,CARESSICDCGorkhaChhoprak3ShelterTarpaulin8181,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Chhoprak,7,Shelter,Tarpaulin,Targeted group,18,18,2400,0,,Completed,04/05/2015,04/05/2015,NFI kits with tarpaulin,26/09/2015,TRUE,Tractor access,West,524 3 07 36,524 3 07 36 5 026,CARESSICDCGorkhaChhoprak7ShelterTarpaulin1818,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Chhoprak,8,Shelter,Tarpaulin,Targeted group,149,149,2400,0,,Completed,04/05/2015,04/05/2015,NFI kits with tarpaulin,26/09/2015,TRUE,Tractor access,West,524 3 07 36,524 3 07 36 5 026,CARESSICDCGorkhaChhoprak8ShelterTarpaulin149149,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Chhoprak,1,Shelter,Tarpaulin,Targeted group,29,29,2400,10,,Completed,06/05/2015,06/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Tractor access,West,524 3 07 36,524 3 07 36 5 026,CARESSICDCGorkhaChhoprak1ShelterTarpaulin2929,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Chhoprak,4,Shelter,Tarpaulin,Targeted group,9,9,2400,4,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Tractor access,West,524 3 07 36,524 3 07 36 5 026,CARESSICDCGorkhaChhoprak4ShelterTarpaulin99,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Chhoprak,5,Shelter,Tarpaulin,Targeted group,4,4,2400,0,,Completed,04/05/2015,04/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Tractor access,West,524 3 07 36,524 3 07 36 5 026,CARESSICDCGorkhaChhoprak5ShelterTarpaulin44,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Chhoprak,6,Shelter,Tarpaulin,Targeted group,26,26,2400,0,,Completed,04/05/2015,04/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Tractor access,West,524 3 07 36,524 3 07 36 5 026,CARESSICDCGorkhaChhoprak6ShelterTarpaulin2626,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Chhoprak,7,Shelter,Tarpaulin,Targeted group,3,3,2400,,,Completed,06/05/2015,06/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Tractor access,West,524 3 07 36,524 3 07 36 5 026,CARESSICDCGorkhaChhoprak7ShelterTarpaulin33,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,1,Shelter,Tarpaulin,Targeted group,3,3,2400,0,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali1ShelterTarpaulin33,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,2,Shelter,Tarpaulin,Targeted group,1,1,2400,0,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali2ShelterTarpaulin11,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,3,Shelter,Tarpaulin,Targeted group,45,45,2400,5,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali3ShelterTarpaulin4545,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,4,Shelter,Tarpaulin,Targeted group,51,51,2400,0,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali4ShelterTarpaulin5151,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,5,Shelter,Tarpaulin,Targeted group,149,149,2400,1,,Completed,17/05/2015,17/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali5ShelterTarpaulin149149,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,6,Shelter,Tarpaulin,Targeted group,30,30,2400,3,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali6ShelterTarpaulin3030,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,7,Shelter,Tarpaulin,Targeted group,32,32,2400,0,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali7ShelterTarpaulin3232,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,8,Shelter,Tarpaulin,Targeted group,28,28,2400,0,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali8ShelterTarpaulin2828,Distribution of Shelter Material
CARE,CARE India,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Deurali,9,Shelter,Tarpaulin,Targeted group,41,41,2400,4,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,Truck access,West,524 3 07 36,524 3 07 36 5 033,CARESSICDCGorkhaDeurali9ShelterTarpaulin4141,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Dhuwakot,7,Shelter,Tarpaulin,Targeted group,29,29,2400,,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 034,CARESSICDCGorkhaDhuwakot7ShelterTarpaulin2929,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Dhuwakot,8,Shelter,Tarpaulin,Targeted group,60,60,2400,,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 034,CARESSICDCGorkhaDhuwakot8ShelterTarpaulin6060,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Dhuwakot,9,Shelter,Tarpaulin,Targeted group,26,26,2400,,,Completed,02/05/2015,02/05/2015,Tarpaulin distribution does not include the NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 034,CARESSICDCGorkhaDhuwakot9ShelterTarpaulin2626,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Gangkhu,4,Shelter,Tarpaulin,Targeted group,2,2,2400,,,Completed,05/05/2015,05/05/2015,Tarpaulin distribution  include the NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 028,CARESSICDCGorkhaGangkhu4ShelterTarpaulin22,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Gangkhu,1,Shelter,Tarpaulin,Targeted group,17,17,2400,,,Completed,06/05/2015,06/05/2015,Tarpaulin distribution  does not include NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 028,CARESSICDCGorkhaGangkhu1ShelterTarpaulin1717,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Gangkhu,2,Shelter,Tarpaulin,Targeted group,24,24,2400,,,Completed,06/05/2015,06/05/2015,Tarpaulin distribution  does not include NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 028,CARESSICDCGorkhaGangkhu2ShelterTarpaulin2424,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Gangkhu,3,Shelter,Tarpaulin,Targeted group,5,5,2400,,,Completed,06/05/2015,06/05/2015,Tarpaulin distribution  does not include NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 028,CARESSICDCGorkhaGangkhu3ShelterTarpaulin55,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Gangkhu,4,Shelter,Tarpaulin,Targeted group,40,40,2400,,,Completed,05/05/2015,05/05/2015,Tarpaulin distribution  does not include NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 028,CARESSICDCGorkhaGangkhu4ShelterTarpaulin4040,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Gangkhu,5,Shelter,Tarpaulin,Targeted group,64,64,2400,,,Completed,22/05/2015,22/05/2015,Tarpaulin distribution  does not include NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 028,CARESSICDCGorkhaGangkhu5ShelterTarpaulin6464,Distribution of Shelter Material
CARE,,SSICDC,Madhav  Dhakal,Madhav.Dhakal@care.org,9855063459,Gorkha,Gangkhu,6,Shelter,Tarpaulin,Targeted group,35,35,2400,,,Completed,06/05/2015,06/05/2015,Tarpaulin distribution  does not include NFI kits.,26/09/2015,TRUE,,West,524 3 07 36,524 3 07 36 5 028,CARESSICDCGorkhaGangkhu6ShelterTarpaulin3535,Distribution of Shelter Material
